
 2020-8-26 19:39:06   |   8 + 2 =  10
 2020-8-26 19:39:06   |   12 - 5 =  7
 2020-8-26 19:39:06   |   7 * 4 =  28
 2020-8-26 19:39:06   |   15 / 3 =  5
 2020-8-26 19:41:42   |   8 + 2 =  10
 2020-8-26 19:41:42   |   12 - 5 =  7
 2020-8-26 19:41:42   |   7 * 4 =  28
 2020-8-26 19:41:42   |   15 / 3 =  5
 2020-8-26 19:42:44   |   8 + 2 =  10
 2020-8-26 19:42:44   |   12 - 5 =  7
 2020-8-26 19:42:44   |   7 * 4 =  28
 2020-8-26 19:42:44   |   15 / 3 =  5
 2020-8-26 19:46:46   |   8 + 2 =  10
 2020-8-26 19:46:46   |   12 - 5 =  7
 2020-8-26 19:46:46   |   7 * 4 =  28
 2020-8-26 19:46:46   |   15 / 3 =  5
 2020-8-26 19:47:31   |   8 + 2 =  10
 2020-8-26 19:47:31   |   12 - 5 =  7
 2020-8-26 19:47:31   |   7 * 4 =  28
 2020-8-26 19:47:31   |   15 / 3 =  5
 2020-8-26 19:47:33   |   8 + 2 =  10
 2020-8-26 19:47:33   |   12 - 5 =  7
 2020-8-26 19:47:33   |   7 * 4 =  28
 2020-8-26 19:47:33   |   15 / 3 =  5
